Person,Model,Tag,Wiki Similarity,Wiki Verdict,Wiki Missing Keywords,Wikidata Similarity,Wikidata Verdict,Facts Matched,Facts Total,KG Similarity,KG Verdict,KG Missing Keywords,Prompt Repeated,Run Time (s)
Elon Musk,gpt2,sampling,0.41368919610977173,⚠️ GPT-2 output is potentially hallucinated or unrelated.,27,0.36366382241249084,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.3531971573829651,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.07
Anne Frank,gpt2,sampling,0.40708261728286743,⚠️ GPT-2 output is potentially hallucinated or unrelated.,34,0.3545667827129364,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,43,0.4569084346294403,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,23.24
Taylor Swift,gpt2,sampling,0.5367758274078369,⚠️ GPT-2 output is potentially hallucinated or unrelated.,36,0.46395790576934814,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.595331072807312,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,8.54
Emily King,gpt2,sampling,0.39086276292800903,⚠️ GPT-2 output is potentially hallucinated or unrelated.,20,0.3287613093852997,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.5254204869270325,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,9.53
Marie Curie,gpt2,greedy,0.3821549415588379,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.3628295660018921,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,31,0.415750116109848,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.69
Søren Bjerg,gpt2,greedy,0.3129346966743469,⚠️ GPT-2 output is potentially hallucinated or unrelated.,59,0.37804967164993286,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,28,0.38983380794525146,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.23
Albert Einstein,gpt2,greedy,0.49648261070251465,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.5278218984603882,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.44849514961242676,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,12.18
Timothée Chalamet,gpt2,greedy,0.3244265913963318,⚠️ GPT-2 output is potentially hallucinated or unrelated.,15,0.2685588300228119,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.33162394165992737,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.18
Barack Obama,gpt2,greedy,0.4984714984893799,⚠️ GPT-2 output is potentially hallucinated or unrelated.,17,0.5940040946006775,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,20,0.5002572536468506,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,11.48
Serena Williams,gpt2,greedy,0.44989269971847534,⚠️ GPT-2 output is potentially hallucinated or unrelated.,21,0.4664342701435089,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,4,27,0.46161895990371704,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.7
Lionel Messi,gpt2,greedy,0.4302971363067627,⚠️ GPT-2 output is potentially hallucinated or unrelated.,66,0.5470114946365356,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.537482500076294,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,14.63
Billie Eilish,gpt2,greedy,0.22331269085407257,⚠️ GPT-2 output is potentially hallucinated or unrelated.,33,0.29852718114852905,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.32870396971702576,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,16.78
Cleopatra,gpt2,greedy,0.25145626068115234,⚠️ GPT-2 output is potentially hallucinated or unrelated.,43,0.3435937762260437,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,11,0.25463321805000305,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,12.72
Rosalind Franklin,gpt2,greedy,0.4025568962097168,⚠️ GPT-2 output is potentially hallucinated or unrelated.,29,0.47943246364593506,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,4,41,0.3803695738315582,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,15.75
Nikola Tesla,gpt2,greedy,0.36663639545440674,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.33383655548095703,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,34,0.3047534227371216,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.82
Elon Musk,gpt2,greedy,0.4277445673942566,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.48198509216308594,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.36206144094467163,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.08
Anne Frank,gpt2,greedy,0.514164924621582,⚠️ GPT-2 output is potentially hallucinated or unrelated.,35,0.3832422196865082,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,43,0.4034605026245117,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.81
Taylor Swift,gpt2,greedy,0.49940556287765503,⚠️ GPT-2 output is potentially hallucinated or unrelated.,37,0.4140194058418274,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.5317345261573792,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.9
Emily King,gpt2,greedy,0.3703429698944092,⚠️ GPT-2 output is potentially hallucinated or unrelated.,22,0.31937557458877563,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.47941917181015015,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.2
Marie Curie,gpt2-medium,sampling,0.356626033782959,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.3907202482223511,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,31,0.38491714000701904,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,23.95
Søren Bjerg,gpt2-medium,sampling,0.2808821499347687,⚠️ GPT-2 output is potentially hallucinated or unrelated.,58,0.3276561200618744,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,28,0.33911335468292236,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,26.77
Albert Einstein,gpt2-medium,sampling,0.7068202495574951,✅ GPT-2 output looks consistent with Wikipedia.,17,0.5340865254402161,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,21,0.6907473206520081,✅ GPT-2 output PASSES semantic + factual check.,3,No,22.37
Timothée Chalamet,gpt2-medium,sampling,0.29048073291778564,⚠️ GPT-2 output is potentially hallucinated or unrelated.,15,0.29814064502716064,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.2852717638015747,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,21.47
Barack Obama,gpt2-medium,sampling,0.40893903374671936,⚠️ GPT-2 output is potentially hallucinated or unrelated.,18,0.3722494840621948,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.41882655024528503,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,8.46
Serena Williams,gpt2-medium,sampling,0.5987814664840698,⚠️ GPT-2 output is potentially hallucinated or unrelated.,20,0.6676240563392639,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,5,27,0.6560407876968384,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,11.57
Lionel Messi,gpt2-medium,sampling,0.511516809463501,⚠️ GPT-2 output is potentially hallucinated or unrelated.,64,0.24007730185985565,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.336110919713974,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,23.03
Billie Eilish,gpt2-medium,sampling,0.10872550308704376,⚠️ GPT-2 output is potentially hallucinated or unrelated.,33,0.23589083552360535,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.2639937996864319,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,20.44
Cleopatra,gpt2-medium,sampling,0.4671870172023773,⚠️ GPT-2 output is potentially hallucinated or unrelated.,43,0.36159569025039673,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,11,0.4750731587409973,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,8.77
Rosalind Franklin,gpt2-medium,sampling,0.46949389576911926,⚠️ GPT-2 output is potentially hallucinated or unrelated.,29,0.3979905843734741,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,41,0.5116457939147949,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,7,No,28.93
Nikola Tesla,gpt2-medium,sampling,0.5738683938980103,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.4432038962841034,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,34,0.5601755380630493,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,33.24
Elon Musk,gpt2-medium,sampling,0.601426362991333,✅ GPT-2 output looks consistent with Wikipedia.,25,0.4707164764404297,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.6188859343528748,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,11.71
Anne Frank,gpt2-medium,sampling,0.7093955874443054,✅ GPT-2 output looks consistent with Wikipedia.,29,0.5811623930931091,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,43,0.6301629543304443,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,19.58
Taylor Swift,gpt2-medium,sampling,0.5337145328521729,⚠️ GPT-2 output is potentially hallucinated or unrelated.,37,0.3890577554702759,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.5718171000480652,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,8.35
Emily King,gpt2-medium,sampling,0.44794389605522156,⚠️ GPT-2 output is potentially hallucinated or unrelated.,21,0.4662880003452301,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.529512882232666,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,22.12
Marie Curie,gpt2-medium,greedy,0.36872029304504395,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.33890679478645325,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,31,0.42549556493759155,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,21.24
Søren Bjerg,gpt2-medium,greedy,0.26865243911743164,⚠️ GPT-2 output is potentially hallucinated or unrelated.,59,0.30415093898773193,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,28,0.3449234962463379,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,35.5
Albert Einstein,gpt2-medium,greedy,0.4617461860179901,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.4740985631942749,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.4557795226573944,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,20.39
Timothée Chalamet,gpt2-medium,greedy,0.5397849678993225,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.44106388092041016,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.5754575729370117,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,21.56
Barack Obama,gpt2-medium,greedy,0.37649959325790405,⚠️ GPT-2 output is potentially hallucinated or unrelated.,18,0.44215014576911926,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.40530312061309814,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,23.01
Serena Williams,gpt2-medium,greedy,0.19325876235961914,⚠️ GPT-2 output is potentially hallucinated or unrelated.,21,0.3183179795742035,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,27,0.18794536590576172,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,25.8
Lionel Messi,gpt2-medium,greedy,0.3291134834289551,⚠️ GPT-2 output is potentially hallucinated or unrelated.,67,0.3795022964477539,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.36953476071357727,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,25.5
Billie Eilish,gpt2-medium,greedy,0.20878508687019348,⚠️ GPT-2 output is potentially hallucinated or unrelated.,33,0.3409782946109772,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.3613548278808594,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,21.45
Cleopatra,gpt2-medium,greedy,0.3179895579814911,⚠️ GPT-2 output is potentially hallucinated or unrelated.,43,0.4276023805141449,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,11,0.3107251822948456,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,22.84
Rosalind Franklin,gpt2-medium,greedy,0.49709001183509827,⚠️ GPT-2 output is potentially hallucinated or unrelated.,29,0.4954342544078827,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,41,0.5100080966949463,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,26.93
Nikola Tesla,gpt2-medium,greedy,0.49116525053977966,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.39473187923431396,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,34,0.4766235053539276,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,23.36
Elon Musk,gpt2-medium,greedy,0.22617200016975403,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.36379462480545044,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.17931072413921356,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,22.14
Anne Frank,gpt2-medium,greedy,0.5073105096817017,⚠️ GPT-2 output is potentially hallucinated or unrelated.,35,0.3888290822505951,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,43,0.4774889349937439,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,22.67
Taylor Swift,gpt2-medium,greedy,0.2751474380493164,⚠️ GPT-2 output is potentially hallucinated or unrelated.,37,0.36039555072784424,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,49,0.3063597083091736,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,23.83
Emily King,gpt2-medium,greedy,0.40309619903564453,⚠️ GPT-2 output is potentially hallucinated or unrelated.,22,0.4268479347229004,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,41,0.5277906656265259,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,27.39
Marie Curie,gpt2-large,sampling,0.2792532444000244,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.36543625593185425,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,31,0.2850702404975891,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,54.79
Søren Bjerg,gpt2-large,sampling,0.34324783086776733,⚠️ GPT-2 output is potentially hallucinated or unrelated.,59,0.41198256611824036,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,28,0.4067019820213318,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,42.49
Albert Einstein,gpt2-large,sampling,0.3678872287273407,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.36181074380874634,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.2900785207748413,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,7,No,45.14
Timothée Chalamet,gpt2-large,sampling,0.2742466628551483,⚠️ GPT-2 output is potentially hallucinated or unrelated.,15,0.1978055089712143,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.26430952548980713,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,41.05
Barack Obama,gpt2-large,sampling,0.4348475933074951,⚠️ GPT-2 output is potentially hallucinated or unrelated.,17,0.46945154666900635,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.43760693073272705,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,39.89
Serena Williams,gpt2-large,sampling,0.37450844049453735,⚠️ GPT-2 output is potentially hallucinated or unrelated.,21,0.5423180460929871,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,27,0.4034140706062317,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,46.75
Lionel Messi,gpt2-large,sampling,0.48771190643310547,⚠️ GPT-2 output is potentially hallucinated or unrelated.,66,0.509717583656311,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.4679985046386719,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,51.16
Billie Eilish,gpt2-large,sampling,0.16974230110645294,⚠️ GPT-2 output is potentially hallucinated or unrelated.,33,0.3056989908218384,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.21978721022605896,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,50.11
Cleopatra,gpt2-large,sampling,0.46981149911880493,⚠️ GPT-2 output is potentially hallucinated or unrelated.,41,0.3779975175857544,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,11,0.5079605579376221,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,50.52
Rosalind Franklin,gpt2-large,sampling,0.5677701830863953,⚠️ GPT-2 output is potentially hallucinated or unrelated.,29,0.49182724952697754,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,5,41,0.589126467704773,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,14.11
Nikola Tesla,gpt2-large,sampling,0.4716517925262451,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.384167343378067,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,34,0.48731404542922974,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,45.61
Elon Musk,gpt2-large,sampling,0.4452736973762512,⚠️ GPT-2 output is potentially hallucinated or unrelated.,26,0.4759606122970581,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,49,0.42742717266082764,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,56.92
Anne Frank,gpt2-large,sampling,0.5644720196723938,⚠️ GPT-2 output is potentially hallucinated or unrelated.,35,0.46417343616485596,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,43,0.5083132386207581,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,68.38
Taylor Swift,gpt2-large,sampling,0.49719715118408203,⚠️ GPT-2 output is potentially hallucinated or unrelated.,36,0.435640424489975,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.5455396175384521,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,63.22
Emily King,gpt2-large,sampling,0.11296878755092621,⚠️ GPT-2 output is potentially hallucinated or unrelated.,19,0.18671271204948425,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.21898332238197327,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,52.89
Marie Curie,gpt2-large,greedy,0.4579022228717804,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.457786500453949,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,31,0.49958884716033936,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,48.48
Søren Bjerg,gpt2-large,greedy,0.3404584228992462,⚠️ GPT-2 output is potentially hallucinated or unrelated.,59,0.4381803274154663,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,28,0.43869549036026,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,69.21
Albert Einstein,gpt2-large,greedy,0.4033529758453369,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.4585287570953369,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.45456233620643616,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,Yes,58.7
Timothée Chalamet,gpt2-large,greedy,0.3532472252845764,⚠️ GPT-2 output is potentially hallucinated or unrelated.,15,0.2951561212539673,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.3510204553604126,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,45.25
Barack Obama,gpt2-large,greedy,0.37649959325790405,⚠️ GPT-2 output is potentially hallucinated or unrelated.,18,0.44215014576911926,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.40530312061309814,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,40.04
Serena Williams,gpt2-large,greedy,0.39172112941741943,⚠️ GPT-2 output is potentially hallucinated or unrelated.,21,0.579993486404419,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,27,0.4290544092655182,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,44.35
Lionel Messi,gpt2-large,greedy,0.43368983268737793,⚠️ GPT-2 output is potentially hallucinated or unrelated.,67,0.4811607003211975,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.4475582242012024,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,48.41
Billie Eilish,gpt2-large,greedy,0.1365472376346588,⚠️ GPT-2 output is potentially hallucinated or unrelated.,33,0.33512771129608154,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.2762344479560852,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,45.44
Cleopatra,gpt2-large,greedy,0.31914442777633667,⚠️ GPT-2 output is potentially hallucinated or unrelated.,43,0.35926616191864014,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,11,0.35284698009490967,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,Yes,44.81
Rosalind Franklin,gpt2-large,greedy,0.4650256633758545,⚠️ GPT-2 output is potentially hallucinated or unrelated.,29,0.5240052938461304,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,41,0.5012323260307312,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,Yes,53.49
Nikola Tesla,gpt2-large,greedy,0.4911121129989624,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.38613033294677734,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,34,0.5076913833618164,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,43.99
Elon Musk,gpt2-large,greedy,0.3741176128387451,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.47988224029541016,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.3589063286781311,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,50.9
Anne Frank,gpt2-large,greedy,0.4556126892566681,⚠️ GPT-2 output is potentially hallucinated or unrelated.,35,0.3816351294517517,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,43,0.45843929052352905,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,46.09
Taylor Swift,gpt2-large,greedy,0.4356231689453125,⚠️ GPT-2 output is potentially hallucinated or unrelated.,37,0.41367030143737793,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.47436776757240295,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,62.17
Emily King,gpt2-large,greedy,0.3209098279476166,⚠️ GPT-2 output is potentially hallucinated or unrelated.,22,0.4113142490386963,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.4476386308670044,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,58.17
