Person,Model,Tag,Wiki Similarity,Wiki Verdict,Wiki Missing Keywords,Wikidata Similarity,Wikidata Verdict,Facts Matched,Facts Total,KG Similarity,KG Verdict,KG Missing Keywords,Prompt Repeated,Run Time (s)
Marie Curie,gpt2-large,sampling,0.3921236991882324,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.4353964924812317,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,31,0.44844070076942444,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,45.66
Søren Bjerg,gpt2-large,sampling,0.4987688958644867,⚠️ GPT-2 output is potentially hallucinated or unrelated.,59,0.4644395709037781,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,28,0.6239675283432007,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,48.78
Albert Einstein,gpt2-large,sampling,0.23061829805374146,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.40384000539779663,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.2630656957626343,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,42.17
Timothée Chalamet,gpt2-large,sampling,0.5488846302032471,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.3747563064098358,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.5419330596923828,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,35.94
Barack Obama,gpt2-large,sampling,0.4315073788166046,⚠️ GPT-2 output is potentially hallucinated or unrelated.,15,0.4271785020828247,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.44298088550567627,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,50.55
Serena Williams,gpt2-large,sampling,0.4798116981983185,⚠️ GPT-2 output is potentially hallucinated or unrelated.,23,0.5282814502716064,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,27,0.4709319770336151,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,57.06
Lionel Messi,gpt2-large,sampling,0.5686303377151489,⚠️ GPT-2 output is potentially hallucinated or unrelated.,67,0.4899332821369171,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.5655845999717712,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,15.51
Billie Eilish,gpt2-large,sampling,0.24746429920196533,⚠️ GPT-2 output is potentially hallucinated or unrelated.,34,0.3888389468193054,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.4416336417198181,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,14.71
Cleopatra,gpt2-large,sampling,0.37118643522262573,⚠️ GPT-2 output is potentially hallucinated or unrelated.,43,0.3141241669654846,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,11,0.4381635785102844,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,31.3
Rosalind Franklin,gpt2-large,sampling,0.13383208215236664,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.1554553508758545,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.18971744179725647,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,71.81
Nikola Tesla,gpt2-large,sampling,0.7144593596458435,✅ GPT-2 output looks consistent with Wikipedia.,14,0.45346713066101074,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,34,0.715351402759552,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.18
Elon Musk,gpt2-large,sampling,0.6399436593055725,✅ GPT-2 output looks consistent with Wikipedia.,23,0.4233292043209076,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,15,0.6250803470611572,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,88.36
Anne Frank,gpt2-large,sampling,0.5270376205444336,⚠️ GPT-2 output is potentially hallucinated or unrelated.,35,0.459179162979126,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,43,0.4458484649658203,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,76.89
Taylor Swift,gpt2-large,sampling,0.4120863080024719,⚠️ GPT-2 output is potentially hallucinated or unrelated.,36,0.4387349486351013,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.45404332876205444,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,81.81
Emily King,gpt2-large,sampling,0.44766610860824585,⚠️ GPT-2 output is potentially hallucinated or unrelated.,23,0.2929590344429016,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.5694254636764526,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,28.94
Marie Curie,gpt2-xl,sampling,0.6569662690162659,✅ GPT-2 output looks consistent with Wikipedia.,12,0.4002907872200012,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,31,0.720417857170105,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,12163.65
Søren Bjerg,gpt2-xl,sampling,0.397945761680603,⚠️ GPT-2 output is potentially hallucinated or unrelated.,55,0.339647114276886,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,28,0.45313549041748047,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,7200.83
Albert Einstein,gpt2-xl,sampling,0.5992969274520874,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.6098233461380005,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,21,0.5933833718299866,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,28.83
Timothée Chalamet,gpt2-xl,sampling,0.6900830268859863,✅ GPT-2 output looks consistent with Wikipedia.,16,0.48406708240509033,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,5,36,0.6993197202682495,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,489.56
Marie Curie,gpt2,greedy,0.46893367171287537,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.3817368149757385,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,31,0.5141119956970215,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.98
Søren Bjerg,gpt2,greedy,0.3277847468852997,⚠️ GPT-2 output is potentially hallucinated or unrelated.,59,0.2665095031261444,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,28,0.3505173325538635,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.0
Albert Einstein,gpt2,greedy,0.29920750856399536,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.3019692301750183,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.20093092322349548,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,13.08
Timothée Chalamet,gpt2,greedy,0.37909072637557983,⚠️ GPT-2 output is potentially hallucinated or unrelated.,15,0.24629084765911102,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.4534745514392853,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,10.57
Barack Obama,gpt2,greedy,0.4456098675727844,⚠️ GPT-2 output is potentially hallucinated or unrelated.,16,0.4566909372806549,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.4120754599571228,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,12.16
Serena Williams,gpt2,greedy,0.49241650104522705,⚠️ GPT-2 output is potentially hallucinated or unrelated.,21,0.4975125789642334,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,27,0.5262317061424255,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,15.35
Lionel Messi,gpt2,greedy,0.22004994750022888,⚠️ GPT-2 output is potentially hallucinated or unrelated.,71,0.27334052324295044,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.2568623423576355,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,13.8
Billie Eilish,gpt2,greedy,0.2655744254589081,⚠️ GPT-2 output is potentially hallucinated or unrelated.,34,0.4113072156906128,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.4623957574367523,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,11.28
Cleopatra,gpt2,greedy,0.3989350199699402,⚠️ GPT-2 output is potentially hallucinated or unrelated.,41,0.30981341004371643,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,11,0.3669624328613281,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,12.24
Rosalind Franklin,gpt2,greedy,0.3279489576816559,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.32865846157073975,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,41,0.31501513719558716,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,12.59
Nikola Tesla,gpt2,greedy,0.32427603006362915,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.19421057403087616,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,34,0.30429381132125854,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,20.22
Elon Musk,gpt2,greedy,0.5441874265670776,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.5169709920883179,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.5097434520721436,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,5.73
Anne Frank,gpt2,greedy,0.2857731580734253,⚠️ GPT-2 output is potentially hallucinated or unrelated.,36,0.09506918489933014,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,35,0.21282511949539185,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,14.39
Taylor Swift,gpt2,greedy,0.31291282176971436,⚠️ GPT-2 output is potentially hallucinated or unrelated.,37,0.23725390434265137,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.36019638180732727,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,14.2
Emily King,gpt2,greedy,0.34483450651168823,⚠️ GPT-2 output is potentially hallucinated or unrelated.,22,0.3041975200176239,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.434630423784256,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,14.14
Marie Curie,gpt2-medium,greedy,0.3921236991882324,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.4353964924812317,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,31,0.44844070076942444,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,21.98
Søren Bjerg,gpt2-medium,greedy,0.3595684766769409,⚠️ GPT-2 output is potentially hallucinated or unrelated.,59,0.4113239645957947,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,28,0.4833759665489197,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,24.96
Albert Einstein,gpt2-medium,greedy,0.3758386969566345,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.4710555672645569,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.39777496457099915,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,Yes,25.67
Timothée Chalamet,gpt2-medium,greedy,0.3212403655052185,⚠️ GPT-2 output is potentially hallucinated or unrelated.,16,0.2550693154335022,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.3500601649284363,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,23.8
Barack Obama,gpt2-medium,greedy,0.3886986970901489,⚠️ GPT-2 output is potentially hallucinated or unrelated.,16,0.36031854152679443,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.3590906858444214,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,22.82
Serena Williams,gpt2-medium,greedy,0.5051376223564148,⚠️ GPT-2 output is potentially hallucinated or unrelated.,23,0.49965453147888184,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,5,27,0.5111100673675537,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,20.52
Lionel Messi,gpt2-medium,greedy,0.36159616708755493,⚠️ GPT-2 output is potentially hallucinated or unrelated.,71,0.350605845451355,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.3673959970474243,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,23.04
Billie Eilish,gpt2-medium,greedy,0.17367401719093323,⚠️ GPT-2 output is potentially hallucinated or unrelated.,34,0.3620232939720154,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,2,32,0.3274543285369873,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,23.51
Cleopatra,gpt2-medium,greedy,0.4636770784854889,⚠️ GPT-2 output is potentially hallucinated or unrelated.,42,0.4761943519115448,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,3,11,0.506335973739624,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,No,20.09
Rosalind Franklin,gpt2-medium,greedy,0.4339018762111664,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.4857286512851715,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,41,0.4469881057739258,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,Yes,25.93
Nikola Tesla,gpt2-medium,greedy,0.5121559500694275,⚠️ GPT-2 output is potentially hallucinated or unrelated.,13,0.259199857711792,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,34,0.48633795976638794,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,No,22.03
Elon Musk,gpt2-medium,greedy,0.42854419350624084,⚠️ GPT-2 output is potentially hallucinated or unrelated.,27,0.5034341216087341,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,15,0.3982901871204376,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,24.47
Anne Frank,gpt2-medium,greedy,0.5993512868881226,⚠️ GPT-2 output is potentially hallucinated or unrelated.,32,0.5172399282455444,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,43,0.584139347076416,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,24.19
Taylor Swift,gpt2-medium,greedy,0.33965548872947693,⚠️ GPT-2 output is potentially hallucinated or unrelated.,37,0.46155405044555664,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.37999534606933594,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,24.99
Emily King,gpt2-medium,greedy,0.28137022256851196,⚠️ GPT-2 output is potentially hallucinated or unrelated.,23,0.28887659311294556,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,41,0.4289988875389099,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,25.45
Marie Curie,gpt2-large,greedy,0.3921236991882324,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.4353964924812317,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,31,0.44844070076942444,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,43.34
Søren Bjerg,gpt2-large,greedy,0.32423800230026245,⚠️ GPT-2 output is potentially hallucinated or unrelated.,57,0.2737806737422943,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,28,0.41878020763397217,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,48.79
Albert Einstein,gpt2-large,greedy,0.37848567962646484,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.48015129566192627,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,21,0.4000306725502014,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,9,Yes,48.11
Timothée Chalamet,gpt2-large,greedy,0.3212403655052185,⚠️ GPT-2 output is potentially hallucinated or unrelated.,16,0.2550693154335022,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,36,0.3500601649284363,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,42.74
Barack Obama,gpt2-large,greedy,0.21056446433067322,⚠️ GPT-2 output is potentially hallucinated or unrelated.,18,0.28757521510124207,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,20,0.21887215971946716,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,No,45.01
Serena Williams,gpt2-large,greedy,0.2996847629547119,⚠️ GPT-2 output is potentially hallucinated or unrelated.,23,0.42082691192626953,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,27,0.3260228931903839,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,51.29
Lionel Messi,gpt2-large,greedy,0.4596270024776459,⚠️ GPT-2 output is potentially hallucinated or unrelated.,71,0.4821731150150299,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.43865862488746643,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,52.81
Billie Eilish,gpt2-large,greedy,0.17492417991161346,⚠️ GPT-2 output is potentially hallucinated or unrelated.,34,0.3437301516532898,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,16,0.32596492767333984,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,57.34
Cleopatra,gpt2-large,greedy,0.3199251890182495,⚠️ GPT-2 output is potentially hallucinated or unrelated.,43,0.3796188235282898,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,11,0.32804208993911743,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,Yes,61.71
Rosalind Franklin,gpt2-large,greedy,0.42694801092147827,⚠️ GPT-2 output is potentially hallucinated or unrelated.,30,0.4750545918941498,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,1,41,0.4354725480079651,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,8,Yes,53.85
Nikola Tesla,gpt2-large,greedy,0.469140887260437,⚠️ GPT-2 output is potentially hallucinated or unrelated.,14,0.3836507499217987,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,34,0.485912024974823,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,55.3
Elon Musk,gpt2-large,greedy,0.35708892345428467,⚠️ GPT-2 output is potentially hallucinated or unrelated.,28,0.4618297219276428,⚠️ Overall Verdict: GPT-2 Output is Likely Hallucinated.,0,15,0.3314647972583771,⚠️ GPT-2 output LIKELY contains hallucinations or omissions.,10,Yes,59.19
